frame,time_s,ball,conf,table_x,table_y
42,1.247,white,0.856,0.4446,0.3727
42,1.247,red,0.804,0.7518,0.3511
42,1.247,yellow,0.748,0.408,0.6473
43,1.276,white,0.856,0.4446,0.3727
43,1.276,red,0.805,0.7518,0.351
43,1.276,yellow,0.748,0.4081,0.6473
44,1.306,white,0.856,0.4446,0.3727
44,1.306,red,0.805,0.7518,0.3511
44,1.306,yellow,0.748,0.4081,0.6473
45,1.336,white,0.856,0.4446,0.3727
45,1.336,red,0.805,0.7518,0.3511
45,1.336,yellow,0.748,0.4081,0.6473
46,1.365,white,0.856,0.4446,0.3727
46,1.365,red,0.805,0.7518,0.3511
46,1.365,yellow,0.748,0.4081,0.6473
47,1.395,white,0.856,0.4446,0.3727
47,1.395,red,0.805,0.7518,0.3511
47,1.395,yellow,0.748,0.4081,0.6472
48,1.425,white,0.856,0.4446,0.3727
48,1.425,red,0.805,0.7518,0.3511
48,1.425,yellow,0.748,0.4081,0.6472
49,1.454,white,0.856,0.4446,0.3727
49,1.454,red,0.805,0.7518,0.3511
49,1.454,yellow,0.748,0.4081,0.6472
50,1.484,white,0.856,0.4446,0.3727
50,1.484,red,0.805,0.7518,0.3511
50,1.484,yellow,0.748,0.4081,0.6473
51,1.514,white,0.856,0.4446,0.3727
51,1.514,red,0.805,0.7518,0.3511
51,1.514,yellow,0.748,0.4081,0.6472
52,1.544,white,0.856,0.4446,0.3727
52,1.544,red,0.805,0.7518,0.3511
52,1.544,yellow,0.748,0.4081,0.6473
53,1.573,white,0.856,0.4446,0.3727
53,1.573,red,0.805,0.7518,0.3511
53,1.573,yellow,0.748,0.4081,0.6473
54,1.603,white,0.856,0.4446,0.3727
54,1.603,red,0.805,0.7518,0.3511
54,1.603,yellow,0.748,0.4081,0.6473
55,1.633,white,0.856,0.4446,0.3727
55,1.633,red,0.805,0.7518,0.3511
55,1.633,yellow,0.748,0.408,0.6472
56,1.662,white,0.856,0.4446,0.3727
56,1.662,red,0.805,0.7518,0.3511
56,1.662,yellow,0.748,0.408,0.6473
57,1.692,white,0.854,0.4446,0.3726
57,1.692,red,0.806,0.7518,0.3511
57,1.692,yellow,0.748,0.4081,0.6473
58,1.722,white,0.854,0.4446,0.3726
58,1.722,red,0.805,0.7518,0.3511
58,1.722,yellow,0.748,0.4081,0.6474
59,1.751,white,0.854,0.4446,0.3726
59,1.751,red,0.806,0.7518,0.3511
59,1.751,yellow,0.748,0.4081,0.6473
60,1.781,white,0.854,0.4446,0.3726
60,1.781,red,0.805,0.7518,0.3511
60,1.781,yellow,0.748,0.4081,0.6474
61,1.811,white,0.854,0.4446,0.3727
61,1.811,red,0.806,0.7518,0.3511
61,1.811,yellow,0.748,0.4081,0.6473
