frame,time_s,ball,conf,table_x,table_y
202,5.996,yellow,0.815,0.2241,0.8014
202,5.996,red,0.809,0.7519,0.3514
203,6.026,white,0.815,0.8789,0.5871
203,6.026,red,0.811,0.7519,0.3514
203,6.026,yellow,0.766,0.2297,0.8176
204,6.055,white,0.815,0.8789,0.5872
204,6.055,red,0.811,0.7519,0.3514
204,6.055,yellow,0.766,0.2297,0.8176
205,6.085,white,0.852,0.8729,0.5981
205,6.085,red,0.811,0.7519,0.3514
205,6.085,yellow,0.792,0.2371,0.8335
206,6.115,white,0.852,0.8729,0.5981
206,6.115,red,0.811,0.7519,0.3514
206,6.115,yellow,0.791,0.2371,0.8335
207,6.144,white,0.887,0.8671,0.6095
207,6.144,yellow,0.843,0.2434,0.8498
207,6.144,red,0.811,0.7519,0.3514
208,6.174,white,0.887,0.8671,0.6095
208,6.174,yellow,0.842,0.2434,0.8498
208,6.174,red,0.811,0.7519,0.3515
209,6.204,white,0.876,0.8619,0.6201
209,6.204,red,0.812,0.7519,0.3514
209,6.204,yellow,0.81,0.2502,0.8662
210,6.233,white,0.855,0.857,0.6326
210,6.233,red,0.812,0.7519,0.3514
210,6.233,yellow,0.746,0.2566,0.8813
211,6.263,white,0.855,0.857,0.6326
211,6.263,red,0.812,0.7519,0.3514
211,6.263,yellow,0.746,0.2566,0.8813
212,6.293,white,0.843,0.8512,0.6441
212,6.293,red,0.811,0.7519,0.3514
212,6.293,yellow,0.72,0.2635,0.8967
213,6.322,white,0.877,0.8457,0.655
213,6.322,red,0.81,0.7519,0.3514
213,6.322,yellow,0.746,0.2696,0.9148
214,6.352,white,0.877,0.8457,0.655
214,6.352,red,0.81,0.7519,0.3514
214,6.352,yellow,0.746,0.2696,0.9148
215,6.382,white,0.857,0.8407,0.6666
215,6.382,red,0.81,0.7519,0.3514
215,6.382,yellow,0.711,0.2757,0.931
216,6.411,white,0.857,0.8407,0.6666
216,6.411,red,0.81,0.7519,0.3514
216,6.411,yellow,0.711,0.2757,0.931
217,6.441,yellow,0.846,0.2825,0.9447
217,6.441,white,0.815,0.8354,0.6771
217,6.441,red,0.809,0.7519,0.3515
218,6.471,yellow,0.846,0.2825,0.9447
218,6.471,white,0.815,0.8354,0.6771
218,6.471,red,0.808,0.7519,0.3515
219,6.501,white,0.875,0.8298,0.6886
219,6.501,red,0.809,0.7519,0.3514
219,6.501,yellow,0.67,0.2894,0.9361
220,6.53,white,0.875,0.8298,0.6886
220,6.53,red,0.809,0.7519,0.3515
220,6.53,yellow,0.671,0.2894,0.9361
221,6.56,white,0.889,0.8243,0.7003
221,6.56,red,0.808,0.7519,0.3514
221,6.56,yellow,0.695,0.2967,0.9198
222,6.59,white,0.889,0.8243,0.7003
222,6.59,red,0.808,0.7519,0.3514
222,6.59,yellow,0.695,0.2967,0.9198
223,6.619,white,0.849,0.8192,0.7106
223,6.619,red,0.807,0.7519,0.3514
223,6.619,yellow,0.771,0.3038,0.9086
224,6.649,white,0.859,0.814,0.7219
224,6.649,red,0.807,0.7519,0.3514
224,6.649,yellow,0.695,0.3107,0.8973
225,6.679,white,0.859,0.814,0.7219
225,6.679,red,0.807,0.7519,0.3514
225,6.679,yellow,0.694,0.3107,0.8973
226,6.708,white,0.87,0.8087,0.7328
226,6.708,red,0.808,0.7519,0.3514
226,6.708,yellow,0.719,0.3181,0.8868
227,6.738,white,0.87,0.8087,0.7328
227,6.738,red,0.808,0.7519,0.3514
227,6.738,yellow,0.718,0.3181,0.8868
228,6.768,white,0.874,0.8035,0.7444
228,6.768,red,0.804,0.7519,0.3515
228,6.768,yellow,0.794,0.3247,0.8794
229,6.797,white,0.874,0.8035,0.7444
229,6.797,red,0.804,0.7519,0.3515
229,6.797,yellow,0.794,0.3247,0.8794
230,6.827,red,0.804,0.7519,0.3515
230,6.827,white,0.782,0.7985,0.7553
230,6.827,yellow,0.747,0.3316,0.8718
231,6.857,red,0.804,0.7519,0.3515
231,6.857,white,0.782,0.7985,0.7553
231,6.857,yellow,0.747,0.3316,0.8718
232,6.886,white,0.86,0.7929,0.7661
232,6.886,red,0.807,0.7519,0.3515
232,6.886,yellow,0.716,0.3376,0.8621
233,6.916,white,0.904,0.7876,0.7788
233,6.916,red,0.807,0.7519,0.3515
233,6.916,yellow,0.787,0.3452,0.8531
234,6.946,white,0.842,0.7821,0.7885
234,6.946,red,0.806,0.7519,0.3515
234,6.946,yellow,0.787,0.352,0.8446
235,6.975,white,0.842,0.7821,0.7885
235,6.975,red,0.806,0.7519,0.3515
235,6.975,yellow,0.787,0.352,0.8446
236,7.005,white,0.84,0.7774,0.7995
236,7.005,yellow,0.83,0.3588,0.8359
236,7.005,red,0.804,0.7519,0.3515
237,7.035,white,0.84,0.7774,0.7995
237,7.035,yellow,0.83,0.3588,0.8358
237,7.035,red,0.804,0.7519,0.3515
238,7.064,white,0.868,0.7717,0.8102
238,7.064,yellow,0.82,0.3656,0.8277
238,7.064,red,0.806,0.7519,0.3515
239,7.094,white,0.868,0.7717,0.8102
239,7.094,yellow,0.82,0.3656,0.8277
239,7.094,red,0.806,0.7519,0.3515
240,7.124,white,0.876,0.7668,0.8214
240,7.124,yellow,0.813,0.3723,0.8179
240,7.124,red,0.808,0.7519,0.3514
241,7.154,white,0.876,0.7668,0.8214
241,7.154,yellow,0.813,0.3723,0.8179
241,7.154,red,0.808,0.7519,0.3514
242,7.183,yellow,0.87,0.3786,0.8094
242,7.183,white,0.863,0.7622,0.8327
242,7.183,red,0.808,0.7519,0.3515
243,7.213,yellow,0.869,0.3786,0.8094
243,7.213,white,0.863,0.7622,0.8327
243,7.213,red,0.808,0.7519,0.3515
244,7.243,white,0.828,0.7567,0.8423
244,7.243,red,0.809,0.7519,0.3515
244,7.243,yellow,0.79,0.3856,0.8008
245,7.272,white,0.886,0.7514,0.8545
245,7.272,yellow,0.813,0.3922,0.7922
245,7.272,red,0.81,0.7519,0.3515
246,7.302,white,0.885,0.7515,0.8545
246,7.302,yellow,0.813,0.3922,0.7922
246,7.302,red,0.81,0.7519,0.3515
247,7.332,white,0.869,0.7457,0.865
247,7.332,red,0.807,0.7519,0.3514
247,7.332,yellow,0.789,0.3992,0.7841
248,7.361,white,0.869,0.7457,0.865
248,7.361,red,0.807,0.7519,0.3514
248,7.361,yellow,0.789,0.3992,0.7842
249,7.391,white,0.821,0.7415,0.8753
249,7.391,yellow,0.811,0.4056,0.7761
249,7.391,red,0.806,0.7518,0.3513
250,7.421,white,0.821,0.7415,0.8753
250,7.421,yellow,0.81,0.4056,0.7761
250,7.421,red,0.806,0.7518,0.3513
251,7.45,white,0.819,0.7357,0.8854
251,7.45,red,0.806,0.7518,0.3513
251,7.45,yellow,0.802,0.4125,0.767
252,7.48,white,0.819,0.7357,0.8854
252,7.48,red,0.806,0.7518,0.3513
252,7.48,yellow,0.802,0.4125,0.767
253,7.51,white,0.847,0.7308,0.8969
253,7.51,yellow,0.835,0.4188,0.7576
253,7.51,red,0.805,0.7518,0.3513
254,7.539,white,0.881,0.7257,0.907
254,7.539,red,0.808,0.7518,0.3512
254,7.539,yellow,0.781,0.4255,0.75
255,7.569,red,0.809,0.7518,0.3512
255,7.569,white,0.782,0.7208,0.9172
255,7.569,yellow,0.781,0.4327,0.7407
256,7.599,red,0.809,0.7518,0.3512
256,7.599,white,0.783,0.7207,0.9172
256,7.599,yellow,0.781,0.4327,0.7407
257,7.628,yellow,0.854,0.4387,0.7322
257,7.628,white,0.811,0.7151,0.9284
257,7.628,red,0.808,0.7518,0.3512
258,7.658,yellow,0.854,0.4387,0.7322
258,7.658,white,0.812,0.7151,0.9284
258,7.658,red,0.808,0.7518,0.3512
259,7.688,red,0.808,0.7519,0.3513
259,7.688,yellow,0.803,0.4452,0.724
259,7.688,white,0.8,0.7101,0.9393
260,7.718,red,0.808,0.7519,0.3513
260,7.718,yellow,0.803,0.4452,0.724
260,7.718,white,0.801,0.7101,0.9393
261,7.747,white,0.82,0.7049,0.944
261,7.747,red,0.807,0.7519,0.3512
261,7.747,yellow,0.801,0.4517,0.7167
262,7.777,white,0.82,0.7049,0.944
262,7.777,red,0.807,0.7519,0.3512
262,7.777,yellow,0.801,0.4517,0.7167
263,7.807,red,0.806,0.7519,0.3512
263,7.807,yellow,0.784,0.4583,0.7069
263,7.807,white,0.771,0.7006,0.9349
264,7.836,red,0.806,0.7519,0.3513
264,7.836,yellow,0.784,0.4583,0.707
264,7.836,white,0.771,0.7006,0.9349
265,7.866,white,0.863,0.6952,0.9288
265,7.866,yellow,0.817,0.4648,0.6995
265,7.866,red,0.807,0.7519,0.3513
266,7.896,white,0.888,0.6901,0.923
266,7.896,red,0.807,0.7519,0.3513
266,7.896,yellow,0.769,0.4716,0.6914
267,7.925,white,0.888,0.6902,0.923
267,7.925,red,0.807,0.7519,0.3513
267,7.925,yellow,0.768,0.4716,0.6914
268,7.955,yellow,0.829,0.4782,0.6831
268,7.955,white,0.826,0.6859,0.915
268,7.955,red,0.807,0.7519,0.3513
269,7.985,yellow,0.829,0.4782,0.6831
269,7.985,white,0.826,0.6859,0.915
269,7.985,red,0.807,0.7519,0.3513
270,8.014,white,0.815,0.6808,0.91
270,8.014,red,0.809,0.7519,0.3513
270,8.014,yellow,0.781,0.484,0.6749
271,8.044,white,0.814,0.6808,0.91
271,8.044,red,0.809,0.7519,0.3513
271,8.044,yellow,0.782,0.484,0.6749
272,8.074,white,0.871,0.6746,0.9057
272,8.074,red,0.813,0.7519,0.3513
272,8.074,yellow,0.807,0.491,0.6662
273,8.103,white,0.872,0.6746,0.9057
273,8.103,red,0.813,0.7519,0.3513
273,8.103,yellow,0.809,0.491,0.6662
274,8.133,yellow,0.834,0.4972,0.6576
274,8.133,red,0.812,0.7518,0.3513
274,8.133,white,0.768,0.6708,0.8998
275,8.163,white,0.821,0.6667,0.8939
275,8.163,red,0.809,0.7518,0.3513
275,8.163,yellow,0.781,0.5037,0.6498
276,8.192,red,0.811,0.7518,0.3513
276,8.192,yellow,0.761,0.5102,0.6418
276,8.192,white,0.742,0.6631,0.8893
277,8.222,red,0.811,0.7519,0.3513
277,8.222,yellow,0.762,0.5102,0.6418
277,8.222,white,0.741,0.6631,0.8893
278,8.252,red,0.811,0.7519,0.3513
278,8.252,yellow,0.754,0.517,0.6336
279,8.281,red,0.811,0.7519,0.3513
279,8.281,yellow,0.754,0.517,0.6336
280,8.311,red,0.811,0.7518,0.3513
280,8.311,yellow,0.798,0.5232,0.6256
281,8.341,red,0.811,0.7519,0.3513
281,8.341,yellow,0.798,0.5232,0.6256
282,8.371,red,0.81,0.7519,0.3513
282,8.371,yellow,0.771,0.5293,0.6176
283,8.4,red,0.811,0.7519,0.3513
283,8.4,yellow,0.77,0.5293,0.6176
284,8.43,yellow,0.813,0.5359,0.6092
284,8.43,red,0.81,0.7519,0.3513
285,8.46,yellow,0.813,0.5359,0.6091
285,8.46,red,0.81,0.7518,0.3513
286,8.489,red,0.812,0.7518,0.3513
286,8.489,yellow,0.784,0.542,0.601
287,8.519,red,0.811,0.7518,0.3513
287,8.519,yellow,0.784,0.542,0.601
288,8.549,red,0.812,0.7518,0.3513
288,8.549,yellow,0.791,0.5487,0.5923
288,8.549,white,0.514,0.6336,0.85
289,8.578,red,0.811,0.7518,0.3513
289,8.578,yellow,0.791,0.5487,0.5923
289,8.578,white,0.508,0.6336,0.85
290,8.608,white,0.879,0.6276,0.8473
290,8.608,yellow,0.829,0.5553,0.5842
290,8.608,red,0.81,0.7518,0.3513
291,8.638,white,0.879,0.6276,0.8473
291,8.638,yellow,0.829,0.5553,0.5842
291,8.638,red,0.81,0.7518,0.3513
292,8.667,white,0.829,0.6242,0.843
292,8.667,red,0.809,0.7518,0.3513
292,8.667,yellow,0.775,0.5615,0.5767
293,8.697,white,0.829,0.6242,0.843
293,8.697,red,0.809,0.7518,0.3513
293,8.697,yellow,0.775,0.5615,0.5767
294,8.727,white,0.848,0.6197,0.8379
294,8.727,red,0.809,0.7518,0.3513
294,8.727,yellow,0.784,0.5673,0.5689
295,8.756,white,0.853,0.6109,0.8286
295,8.756,red,0.809,0.7518,0.3513
295,8.756,yellow,0.809,0.5803,0.5532
296,8.786,white,0.844,0.6065,0.8217
296,8.786,red,0.809,0.7518,0.3513
296,8.786,yellow,0.788,0.5862,0.5444
297,8.816,white,0.846,0.601,0.8155
297,8.816,yellow,0.813,0.5924,0.5369
297,8.816,red,0.809,0.7518,0.3513
298,8.845,white,0.88,0.5973,0.8096
298,8.845,red,0.81,0.7518,0.3512
298,8.845,yellow,0.766,0.5985,0.5291
299,8.875,white,0.87,0.592,0.8044
299,8.875,red,0.811,0.7518,0.3512
299,8.875,yellow,0.787,0.6053,0.5204
300,8.905,yellow,0.848,0.6109,0.5134
300,8.905,white,0.816,0.5874,0.7994
300,8.905,red,0.811,0.7518,0.3513
301,8.935,white,0.833,0.5831,0.7945
301,8.935,red,0.81,0.7518,0.3513
301,8.935,yellow,0.779,0.6173,0.505
302,8.964,white,0.836,0.5786,0.7894
302,8.964,red,0.811,0.7518,0.3513
302,8.964,yellow,0.777,0.6233,0.4975
303,8.994,white,0.85,0.5738,0.784
303,8.994,yellow,0.812,0.6292,0.4892
303,8.994,red,0.812,0.7518,0.3513
304,9.024,white,0.881,0.5698,0.7785
304,9.024,red,0.812,0.7518,0.3512
304,9.024,yellow,0.758,0.6357,0.4821
305,9.053,white,0.838,0.5652,0.7718
305,9.053,red,0.813,0.7518,0.3512
305,9.053,yellow,0.785,0.6416,0.4738
306,9.083,white,0.855,0.5605,0.7668
306,9.083,yellow,0.834,0.6473,0.4661
306,9.083,red,0.815,0.7518,0.3512
307,9.113,white,0.879,0.5561,0.7615
307,9.113,red,0.816,0.7518,0.3512
307,9.113,yellow,0.805,0.6529,0.4586
308,9.142,white,0.883,0.5518,0.7567
308,9.142,red,0.815,0.7518,0.3511
308,9.142,yellow,0.791,0.6592,0.4513
309,9.172,yellow,0.846,0.6655,0.4428
309,9.172,white,0.827,0.5475,0.7502
309,9.172,red,0.817,0.7518,0.351
310,9.202,white,0.875,0.5428,0.7459
310,9.202,red,0.821,0.7518,0.351
310,9.202,yellow,0.816,0.6713,0.4343
311,9.231,white,0.896,0.5392,0.7419
311,9.231,red,0.824,0.7519,0.3509
311,9.231,yellow,0.759,0.6775,0.4272
312,9.261,white,0.863,0.5343,0.7364
312,9.261,red,0.83,0.7519,0.3508
312,9.261,yellow,0.767,0.6834,0.4203
313,9.291,red,0.83,0.7519,0.3509
313,9.291,white,0.827,0.5303,0.7307
313,9.291,yellow,0.762,0.6893,0.412
314,9.32,white,0.857,0.5257,0.7252
314,9.32,red,0.823,0.7519,0.3509
314,9.32,yellow,0.787,0.6956,0.405
315,9.35,white,0.857,0.5257,0.7252
315,9.35,red,0.823,0.7519,0.3509
315,9.35,yellow,0.787,0.6956,0.405
316,9.38,white,0.878,0.5212,0.7198
316,9.38,red,0.824,0.7522,0.3508
316,9.38,yellow,0.744,0.7017,0.3967
317,9.409,white,0.861,0.5168,0.7147
317,9.409,red,0.846,0.7524,0.351
317,9.409,yellow,0.803,0.7074,0.3901
318,9.439,white,0.854,0.5127,0.71
318,9.439,red,0.845,0.753,0.3512
318,9.439,yellow,0.751,0.7132,0.382
319,9.469,white,0.839,0.5041,0.6986
319,9.469,red,0.807,0.7526,0.351
319,9.469,yellow,0.732,0.7245,0.3674
320,9.498,white,0.868,0.5,0.6941
320,9.498,red,0.807,0.753,0.3525
320,9.498,yellow,0.775,0.7294,0.3604
321,9.528,white,0.868,0.4955,0.6895
321,9.528,yellow,0.846,0.7306,0.3531
321,9.528,red,0.714,0.7575,0.3507
322,9.558,yellow,0.901,0.7312,0.3478
322,9.558,white,0.827,0.4917,0.6849
322,9.558,red,0.818,0.7633,0.3481
323,9.588,yellow,0.9,0.7312,0.3478
323,9.588,white,0.827,0.4917,0.6849
323,9.588,red,0.817,0.7633,0.3481
324,9.617,red,0.851,0.7685,0.3472
324,9.617,white,0.838,0.4872,0.6795
324,9.617,yellow,0.822,0.7314,0.3418
325,9.647,white,0.86,0.483,0.6741
325,9.647,red,0.846,0.7725,0.3463
325,9.647,yellow,0.827,0.7325,0.3358
326,9.677,white,0.892,0.4786,0.6691
326,9.677,yellow,0.859,0.7337,0.3297
326,9.677,red,0.839,0.7764,0.3446
327,9.706,white,0.862,0.4748,0.6651
327,9.706,yellow,0.814,0.735,0.3229
327,9.706,red,0.728,0.7806,0.3436
328,9.736,white,0.862,0.4748,0.6651
328,9.736,yellow,0.814,0.735,0.3229
328,9.736,red,0.728,0.7806,0.3436
329,9.766,red,0.853,0.7849,0.3434
329,9.766,white,0.786,0.4709,0.6587
329,9.766,yellow,0.773,0.7359,0.3165
330,9.795,red,0.846,0.7882,0.3416
330,9.795,white,0.831,0.4661,0.6542
330,9.795,yellow,0.779,0.7369,0.31
331,9.825,red,0.856,0.7914,0.3404
331,9.825,white,0.856,0.4619,0.6496
331,9.825,yellow,0.767,0.7379,0.3044
332,9.855,white,0.865,0.4581,0.6454
332,9.855,red,0.851,0.7956,0.34
332,9.855,yellow,0.769,0.7391,0.299
333,9.884,white,0.826,0.4545,0.641
333,9.884,red,0.824,0.8004,0.3383
333,9.884,yellow,0.789,0.7402,0.2921
334,9.914,red,0.86,0.8041,0.338
334,9.914,white,0.836,0.4499,0.6354
334,9.914,yellow,0.745,0.7412,0.2868
335,9.944,white,0.863,0.446,0.632
335,9.944,red,0.837,0.8084,0.3379
335,9.944,yellow,0.785,0.7422,0.2812
336,9.973,white,0.871,0.4425,0.6262
336,9.973,red,0.847,0.8117,0.3363
336,9.973,yellow,0.791,0.7429,0.2752
337,10.003,white,0.855,0.4381,0.6204
337,10.003,red,0.849,0.8158,0.3348
337,10.003,yellow,0.788,0.7438,0.2688
338,10.033,red,0.832,0.82,0.3341
338,10.033,white,0.811,0.4342,0.6155
338,10.033,yellow,0.799,0.7448,0.264
339,10.062,red,0.86,0.8238,0.3325
339,10.062,white,0.811,0.4305,0.6106
339,10.062,yellow,0.81,0.7458,0.2586
340,10.092,red,0.852,0.8272,0.3312
340,10.092,white,0.846,0.4258,0.6064
340,10.092,yellow,0.833,0.7467,0.2514
341,10.122,white,0.835,0.4219,0.6017
341,10.122,red,0.835,0.831,0.3317
341,10.122,yellow,0.813,0.7475,0.2466
342,10.151,white,0.843,0.4182,0.5962
342,10.151,red,0.81,0.8347,0.3284
342,10.151,yellow,0.78,0.7486,0.2408
343,10.181,white,0.856,0.4151,0.5921
343,10.181,red,0.809,0.8385,0.3283
343,10.181,yellow,0.775,0.7494,0.2353
344,10.211,red,0.845,0.8425,0.3273
344,10.211,white,0.82,0.4104,0.5875
344,10.211,yellow,0.743,0.7503,0.23
345,10.241,red,0.86,0.8462,0.3262
345,10.241,white,0.849,0.4062,0.5825
345,10.241,yellow,0.753,0.7516,0.2244
346,10.27,white,0.846,0.4021,0.5781
346,10.27,red,0.843,0.85,0.325
346,10.27,yellow,0.783,0.7525,0.2191
347,10.3,white,0.876,0.3991,0.5739
347,10.3,red,0.816,0.8538,0.3237
347,10.3,yellow,0.774,0.7529,0.2125
348,10.33,white,0.798,0.395,0.5685
348,10.33,red,0.796,0.8575,0.324
348,10.33,yellow,0.762,0.7539,0.2069
349,10.359,white,0.798,0.395,0.5685
349,10.359,red,0.795,0.8575,0.324
349,10.359,yellow,0.762,0.7539,0.2069
350,10.389,red,0.844,0.8611,0.3219
350,10.389,white,0.828,0.3914,0.564
350,10.389,yellow,0.755,0.7545,0.2013
351,10.419,white,0.861,0.3877,0.5598
351,10.419,red,0.843,0.865,0.3209
351,10.419,yellow,0.744,0.7554,0.1965
352,10.448,white,0.861,0.3877,0.5598
352,10.448,red,0.843,0.8651,0.3209
352,10.448,yellow,0.745,0.7553,0.1965
353,10.478,white,0.858,0.3836,0.5549
353,10.478,red,0.817,0.8683,0.3205
353,10.478,yellow,0.803,0.7559,0.1912
354,10.508,white,0.823,0.3797,0.5512
354,10.508,yellow,0.821,0.7568,0.1863
354,10.508,red,0.79,0.8724,0.3197
355,10.537,yellow,0.827,0.7577,0.1804
355,10.537,white,0.754,0.3762,0.5454
355,10.537,red,0.743,0.8765,0.3188
356,10.567,red,0.855,0.8795,0.3171
356,10.567,yellow,0.786,0.7587,0.1747
356,10.567,white,0.766,0.3722,0.5412
357,10.597,red,0.852,0.8829,0.317
357,10.597,white,0.841,0.3683,0.5366
357,10.597,yellow,0.751,0.7597,0.1698
358,10.626,white,0.84,0.3645,0.5328
358,10.626,red,0.829,0.8865,0.316
358,10.626,yellow,0.766,0.761,0.1647
359,10.656,white,0.815,0.3614,0.5279
359,10.656,red,0.795,0.8901,0.3151
359,10.656,yellow,0.786,0.7609,0.159
360,10.686,white,0.839,0.3578,0.5228
360,10.686,yellow,0.821,0.7619,0.1532
360,10.686,red,0.738,0.8939,0.314
361,10.715,red,0.844,0.8973,0.314
361,10.715,yellow,0.843,0.7624,0.1484
361,10.715,white,0.842,0.3538,0.5188
362,10.745,red,0.87,0.9009,0.3122
362,10.745,yellow,0.869,0.7632,0.1435
362,10.745,white,0.85,0.35,0.5149
363,10.775,yellow,0.847,0.7642,0.1381
363,10.775,red,0.847,0.9036,0.3106
363,10.775,white,0.843,0.347,0.5092
364,10.805,white,0.867,0.3427,0.5047
364,10.805,yellow,0.824,0.7648,0.1331
364,10.805,red,0.805,0.9069,0.3107
365,10.834,white,0.838,0.3397,0.5011
365,10.834,yellow,0.807,0.7655,0.1276
365,10.834,red,0.757,0.9115,0.31
366,10.864,yellow,0.788,0.7662,0.1222
366,10.864,white,0.778,0.3357,0.4973
366,10.864,red,0.717,0.9147,0.3083
367,10.894,red,0.851,0.9182,0.3077
367,10.894,white,0.804,0.332,0.4924
367,10.894,yellow,0.768,0.7665,0.1175
368,10.923,red,0.862,0.9218,0.3078
368,10.923,white,0.813,0.3287,0.4883
368,10.923,yellow,0.744,0.7676,0.1126
369,10.953,white,0.835,0.3213,0.4803
369,10.953,yellow,0.787,0.769,0.1038
369,10.953,red,0.771,0.9284,0.3055
370,10.983,yellow,0.77,0.7698,0.0992
370,10.983,red,0.761,0.9318,0.3043
370,10.983,white,0.757,0.3181,0.4753
371,11.012,red,0.819,0.9355,0.3034
371,11.012,white,0.779,0.3147,0.4704
371,11.012,yellow,0.761,0.7705,0.0935
372,11.042,red,0.819,0.9355,0.3034
372,11.042,white,0.779,0.3147,0.4704
372,11.042,yellow,0.761,0.7705,0.0935
373,11.072,red,0.851,0.9379,0.303
373,11.072,white,0.812,0.3109,0.4668
373,11.072,yellow,0.778,0.7708,0.0881
374,11.101,red,0.858,0.9418,0.3021
374,11.101,white,0.837,0.3073,0.4623
374,11.101,yellow,0.778,0.7717,0.0833
375,11.131,white,0.852,0.304,0.459
375,11.131,red,0.834,0.9449,0.3011
375,11.131,yellow,0.817,0.772,0.0788
376,11.161,red,0.822,0.9482,0.3009
376,11.161,yellow,0.821,0.7731,0.075
376,11.161,white,0.784,0.3009,0.4541
377,11.19,yellow,0.849,0.7742,0.0707
377,11.19,white,0.825,0.297,0.4499
377,11.19,red,0.824,0.9517,0.299
378,11.22,red,0.87,0.9553,0.2978
378,11.22,yellow,0.855,0.7747,0.0647
378,11.22,white,0.83,0.2932,0.4464
379,11.25,red,0.87,0.9553,0.2978
379,11.25,yellow,0.855,0.7747,0.0647
379,11.25,white,0.83,0.2932,0.4464
380,11.279,red,0.896,0.9585,0.2976
380,11.279,white,0.859,0.2902,0.4424
380,11.279,yellow,0.845,0.7748,0.06
381,11.309,red,0.885,0.9611,0.2972
381,11.309,white,0.86,0.2865,0.4382
381,11.309,yellow,0.818,0.7751,0.0559
382,11.339,red,0.885,0.9611,0.2972
382,11.339,white,0.86,0.2865,0.4382
382,11.339,yellow,0.818,0.7751,0.056
383,11.368,red,0.876,0.9645,0.2963
383,11.368,yellow,0.827,0.7761,0.0544
383,11.368,white,0.807,0.2835,0.4332
384,11.398,red,0.871,0.9674,0.2949
384,11.398,yellow,0.822,0.7759,0.0578
384,11.398,white,0.749,0.28,0.4299
385,11.428,red,0.87,0.9699,0.2933
385,11.428,yellow,0.848,0.7762,0.0597
385,11.428,white,0.818,0.2763,0.4258
386,11.458,yellow,0.848,0.7763,0.0614
386,11.458,white,0.828,0.273,0.4222
386,11.458,red,0.769,0.9731,0.2936
387,11.487,yellow,0.852,0.7764,0.0637
387,11.487,red,0.85,0.9708,0.2922
387,11.487,white,0.822,0.27,0.4176
388,11.517,red,0.872,0.9696,0.2909
388,11.517,yellow,0.859,0.7765,0.0655
388,11.517,white,0.822,0.2666,0.4143
389,11.547,red,0.872,0.968,0.2908
389,11.547,yellow,0.863,0.7766,0.0682
389,11.547,white,0.83,0.2635,0.4104
390,11.576,yellow,0.87,0.7765,0.0706
390,11.576,red,0.867,0.966,0.2913
390,11.576,white,0.778,0.2602,0.4062
391,11.606,yellow,0.869,0.7765,0.0706
391,11.606,red,0.868,0.966,0.2913
391,11.606,white,0.778,0.2602,0.4062
392,11.636,yellow,0.873,0.7764,0.0725
392,11.636,red,0.873,0.9643,0.2918
392,11.636,white,0.8,0.2572,0.4023
393,11.665,red,0.881,0.9624,0.2909
393,11.665,yellow,0.873,0.7762,0.0749
393,11.665,white,0.823,0.2536,0.3973
394,11.695,red,0.88,0.9609,0.2895
394,11.695,yellow,0.863,0.776,0.0762
394,11.695,white,0.841,0.25,0.3934
395,11.725,red,0.876,0.9597,0.2888
395,11.725,white,0.857,0.2465,0.3903
395,11.725,yellow,0.855,0.776,0.0781
396,11.754,red,0.876,0.9597,0.2888
396,11.754,white,0.857,0.2465,0.3903
396,11.754,yellow,0.855,0.776,0.0781
397,11.784,red,0.871,0.9582,0.2875
397,11.784,yellow,0.849,0.7759,0.0798
397,11.784,white,0.844,0.2442,0.3865
398,11.814,red,0.866,0.9564,0.2863
398,11.814,yellow,0.824,0.7757,0.0818
398,11.814,white,0.794,0.2407,0.3823
399,11.843,red,0.838,0.9546,0.2862
399,11.843,yellow,0.795,0.7756,0.0835
399,11.843,white,0.79,0.2373,0.3774
400,11.873,white,0.834,0.2343,0.3745
400,11.873,yellow,0.762,0.7751,0.0847
400,11.873,red,0.758,0.9531,0.2861
401,11.903,white,0.847,0.2314,0.371
401,11.903,red,0.782,0.9516,0.2846
401,11.903,yellow,0.751,0.7754,0.0864
402,11.932,white,0.833,0.2285,0.3678
402,11.932,red,0.817,0.9501,0.2838
402,11.932,yellow,0.749,0.7755,0.0881
403,11.962,red,0.828,0.9484,0.2836
403,11.962,white,0.824,0.2254,0.3633
403,11.962,yellow,0.738,0.7752,0.0898
404,11.992,red,0.823,0.9465,0.2834
404,11.992,yellow,0.734,0.775,0.0919
404,11.992,white,0.723,0.2225,0.3588
405,12.022,red,0.824,0.945,0.283
405,12.022,white,0.816,0.2189,0.3552
405,12.022,yellow,0.724,0.7753,0.0941
406,12.051,white,0.826,0.2157,0.3514
406,12.051,red,0.823,0.9437,0.2828
406,12.051,yellow,0.718,0.7755,0.0955
407,12.081,white,0.844,0.2126,0.3483
407,12.081,red,0.831,0.942,0.2824
407,12.081,yellow,0.721,0.7754,0.0969
408,12.111,red,0.836,0.9405,0.2812
408,12.111,white,0.834,0.2094,0.3453
408,12.111,yellow,0.727,0.7754,0.098
409,12.14,red,0.836,0.9405,0.2812
409,12.14,white,0.834,0.2094,0.3453
409,12.14,yellow,0.727,0.7754,0.098
410,12.17,red,0.845,0.939,0.2809
410,12.17,white,0.788,0.2067,0.3409
410,12.17,yellow,0.758,0.7758,0.1002
411,12.2,red,0.849,0.9377,0.2806
411,12.2,white,0.822,0.2039,0.3366
411,12.2,yellow,0.768,0.7758,0.1014
412,12.229,red,0.844,0.9365,0.2806
412,12.229,white,0.81,0.2005,0.3333
