frame,time_s,p_white,p_yellow,white_x,white_y,yellow_x,yellow_y,red_x,red_y
8,0.24,0.0401,0.0349,0.4446,0.3726,0.408,0.6473,0.7518,0.3511
1747,51.86,0.0321,0.0401,0.8091,0.8243,0.7177,0.4911,0.2593,0.8139
